strategy,schedule,starts,avg_final,median_final,avg_excess_vs_all_in,win_rate_vs_all_in,worst_excess_vs_all_in,best_excess_vs_all_in,avg_max_drawdown,never_full_rate,avg_full_days,max_full_days,1y_avg,1y_median,3y_avg,3y_median,5y_avg,5y_median,10y_avg,10y_median
init_60_full_35,0%->60%; -5%->66%; -10%->71%; -15%->77%; -20%->83%; -25%->89%; -30%->94%; -35%->100%,10,8.332216415060994,8.097938882009824,-0.06048589548628423,0.0,-0.08686086185420316,-0.04820938806121722,-0.3242812366962002,1.0,,,0.0030137326717541214,-0.010633773514395262,0.10517187319694399,0.10201821127442245,0.09121818199222483,0.08724144850376903,0.1522821755218278,0.15023992274627884
init_60_full_40,0%->60%; -5%->65%; -10%->70%; -15%->75%; -20%->80%; -25%->85%; -30%->90%; -35%->95%; -40%->100%,10,8.00633658123269,7.779436506728356,-0.09726950304381526,0.0,-0.12107573290792606,-0.08618764531430512,-0.3191788536158849,1.0,,,0.0017860596374311033,-0.011984811738716294,0.10076424194595816,0.09761748836512485,0.08776963509174014,0.08416333575900325,0.14835502998385858,0.1463462012847181
init_60_full_50,0%->60%; -5%->64%; -10%->68%; -15%->72%; -20%->76%; -25%->80%; -30%->84%; -35%->88%; -40%->92%; -45%->96%; -50%->100%,10,7.550104813873066,7.333533181334301,-0.1487665536243586,0.0,-0.1689765523831379,-0.13935720546862795,-0.31154512284043706,1.0,,,6.731738937870713e-05,-0.013876265252765918,0.09453342883986027,0.09139654653406393,0.08286503043020892,0.07979424003131008,0.14264513072208784,0.14068671102604347
init_40_full_20,0%->40%; -5%->55%; -10%->70%; -15%->85%; -20%->100%,10,9.068086783458348,8.796321577523809,0.0225234010713349,0.9,-0.012117105670646389,0.03859987572367629,-0.33827635805607836,0.0,144,292,0.0065073458306291855,-0.009113878429667155,0.1183300006642862,0.11454899156587361,0.10154443987476439,0.0972860980142709,0.16125302811159076,0.1593471341669923
init_40_full_25,0%->40%; -5%->52%; -10%->64%; -15%->76%; -20%->88%; -25%->100%,10,9.190616132790996,8.949836252753169,0.03670930755885767,0.9,-0.00885874198791814,0.05790600823728975,-0.33827635805607836,0.0,147,295,0.01608647257474104,0.008402722629285209,0.12342423841856258,0.12099538069812454,0.10456875656322195,0.09981488937207483,0.1628458468291608,0.16075188926474338
init_40_full_30,0%->40%; -5%->50%; -10%->60%; -15%->70%; -20%->80%; -25%->90%; -30%->100%,10,8.712436169885969,8.49231317377928,-0.01716162811436407,0.2,-0.0618615506738589,0.0036424324143498055,-0.3267413923489085,0.0,1885,2033,0.01264898807863637,0.0046198156011862945,0.11139946856105334,0.10900674494296803,0.09528368183166176,0.0908483283002367,0.15665527178592814,0.154519118416228
init_40_full_35,0%->40%; -5%->49%; -10%->57%; -15%->66%; -20%->74%; -25%->83%; -30%->91%; -35%->100%,10,8.06067650222936,7.855308423216342,-0.09072884322942623,0.0,-0.1302912927813048,-0.07231408209182588,-0.31664184702579845,1.0,,,0.010193642009990168,0.0019177391525440624,0.10264782090968125,0.10028206063997858,0.08844870376082595,0.08425819672489587,0.1489545367923955,0.14687839482756837
init_40_full_40,0%->40%; -5%->48%; -10%->55%; -15%->62%; -20%->70%; -25%->78%; -30%->85%; -35%->92%; -40%->100%,10,7.571856751486904,7.37755486029414,-0.14590425456572273,0.0,-0.18161359936188892,-0.12928146797145768,-0.3083042932699423,1.0,,,0.008352132458505478,-0.00010881818393770892,0.09599143344519664,0.09364658139700066,0.0832045403100177,0.07920824167744078,0.14285758740971605,0.14083138494724934
init_40_full_50,0%->40%; -5%->46%; -10%->52%; -15%->58%; -20%->64%; -25%->70%; -30%->76%; -35%->82%; -40%->88%; -45%->94%; -50%->100%,10,6.887509100447463,6.708699872203054,-0.2231498304365381,0.0,-0.2534648285747072,-0.20903580820294232,-0.2953447154930703,1.0,,,0.005774019086427007,-0.0029459984550118667,0.0865339096680859,0.08421939561998781,0.075682946595961,0.07197539048452883,0.13379653203892966,0.13184890251672166
init_20_full_20,0%->20%; -5%->40%; -10%->60%; -15%->80%; -20%->100%,10,9.13235029770304,8.86736217016615,0.03003120142844624,0.9,-0.01615614089419526,0.05146650096490135,-0.33827635805607836,0.0,144,292,0.012458489775744808,-0.00023957162346510685,0.12101978382270073,0.11754132809019202,0.10314751713337271,0.0989336462721575,0.16209600598144974,0.16021742199350397
init_20_full_25,0%->20%; -5%->36%; -10%->52%; -15%->68%; -20%->84%; -25%->100%,10,9.295722763479908,9.072048403805294,0.04894574341181025,0.9,-0.01181165598389089,0.07720801098305285,-0.33827635805607836,0.0,147,295,0.025230658767894064,0.023115896455138563,0.12776115482755118,0.12607475378443445,0.10714354173434475,0.10227643041454826,0.16419822997763794,0.16209593277164824
init_20_full_30,0%->20%; -5%->33%; -10%->47%; -15%->60%; -20%->73%; -25%->87%; -30%->100%,10,8.658149479606536,8.462017631840109,-0.02288217081915217,0.2,-0.08248206756514531,0.004856576552466629,-0.3227154904684099,0.0,1885,2033,0.02064734610642116,0.018072020417672974,0.11179382924681872,0.11017924001473167,0.09481314178237132,0.09036526802919442,0.15596484493444326,0.15403713081993553
init_20_full_35,0%->20%; -5%->31%; -10%->43%; -15%->54%; -20%->66%; -25%->77%; -30%->89%; -35%->100%,10,7.7891365893977245,7.6126779644228595,-0.12097179097256831,0.0,-0.17372172370840633,-0.09641877612243455,-0.3085177979181144,1.0,,,0.017373551348226112,0.014469251819483109,0.10010039560452481,0.0985403475861939,0.08564466303476245,0.0815270582208647,0.1455332936963844,0.14361060039688023
init_20_full_40,0%->20%; -5%->30%; -10%->40%; -15%->50%; -20%->60%; -25%->70%; -30%->80%; -35%->90%; -40%->100%,10,7.137376921741116,6.975673213859923,-0.19453900608763036,0.0,-0.242151465815852,-0.17237529062861034,-0.29636984287652657,1.0,,,0.014918205279579943,0.011767175370841043,0.09116371355196687,0.08964654518017134,0.07855389168618569,0.07470349139956134,0.13710679196110656,0.13518820159247058
init_20_full_50,0%->20%; -5%->28%; -10%->36%; -15%->44%; -20%->52%; -25%->60%; -30%->68%; -35%->76%; -40%->84%; -45%->92%; -50%->100%,10,6.224913387021863,6.083866563071809,-0.29753310724871734,0.0,-0.33795310476627605,-0.27871441093725635,-0.2766714735207003,1.0,,,0.01148072078347524,0.007984268342741907,0.078399836136901,0.07694583531438492,0.06829322241613359,0.06484914838462474,0.12427434649330901,0.12236237909535896
init_0_full_20,0%->0%; -5%->25%; -10%->50%; -15%->75%; -20%->100%,10,9.196613811947735,8.938402762808488,0.0375390017855579,0.9,-0.02019517611774424,0.06433312620612708,-0.33827635805607836,0.0,144,292,0.018409633720860373,0.008634735182736941,0.12369201494885909,0.12051769916663024,0.10473804740413892,0.10057085267195898,0.16293156119144026,0.16108156501259563
init_0_full_25,0%->0%; -5%->20%; -10%->40%; -15%->60%; -20%->80%; -25%->100%,10,9.400829394168817,9.19426055485742,0.06118217926476268,0.9,-0.01476456997986375,0.09651001372881618,-0.33827635805607836,0.0,147,295,0.034374844961046924,0.037829070280991584,0.1320563533697698,0.13110868372927154,0.10968859053097871,0.10471389411730236,0.1655330530028123,0.1634339385401885
init_0_full_30,0%->0%; -5%->17%; -10%->33%; -15%->50%; -20%->67%; -25%->83%; -30%->100%,10,8.603862789327104,8.431722089900937,-0.02860271352394019,0.2,-0.10310258445643161,0.006070720690583009,-0.31859204010148245,0.0,1885,2033,0.028645704134205717,0.03152422523415943,0.11217741162898136,0.1113492155906487,0.09433611771853301,0.08987921400106158,0.15526591450232327,0.1529887972929923
init_0_full_35,0%->0%; -5%->14%; -10%->29%; -15%->43%; -20%->57%; -25%->71%; -30%->86%; -35%->100%,10,7.5175966765660895,7.370047505629376,-0.15121473871571037,0.0,-0.21715215463550785,-0.12052347015304321,-0.29985874196614365,1.0,,,0.024553460686462268,0.027020764486422655,0.09752887803276591,0.09679302682052626,0.08280490527078299,0.07876605329515018,0.14201234602052673,0.13982922708811651
init_0_full_40,0%->0%; -5%->12%; -10%->25%; -15%->38%; -20%->50%; -25%->62%; -30%->75%; -35%->88%; -40%->100%,10,6.702897091995328,6.573791567425705,-0.24317375760953808,0.0,-0.3026893322698152,-0.2154691132857628,-0.2832077732687979,1.0,,,0.021484278100654352,0.023643168925619795,0.08627907025479742,0.08561683800996556,0.07381368920656979,0.07012004908976732,0.13107604934273218,0.12897733865536198
init_0_full_50,0%->0%; -5%->10%; -10%->20%; -15%->30%; -20%->40%; -25%->50%; -30%->60%; -35%->70%; -40%->80%; -45%->90%; -50%->100%,10,5.562317673596262,5.4590332539405635,-0.37191638406089683,0.0,-0.42244138095784534,-0.3483930136715705,-0.25490219299823114,1.0,,,0.017187422480523507,0.018914535140495792,0.07012463252166193,0.06957255735008272,0.06068115722197372,0.05752521067803984,0.1139591271915481,0.11200731875387493
