date,taiex_close,taiex_drawdown,asset,asset_source
2009-01-05,4698.31,-0.5394807002411244,22.646467208862305,0050 Yahoo adjusted close
2009-01-06,4727.26,-0.5366430769833958,22.63409996032715,0050 Yahoo adjusted close
2009-01-07,4789.84,-0.5305091058791241,19.935579299926758,0050 Yahoo adjusted close
2009-01-08,4535.79,-0.5554105977142185,18.666786193847656,0050 Yahoo adjusted close
2009-01-09,4502.74,-0.5586500950775324,19.9417667388916,0050 Yahoo adjusted close
2009-01-12,4453.9,-0.5634372978377213,21.161048889160156,0050 Yahoo adjusted close
2009-01-13,4532.36,-0.5557467997098666,20.214092254638672,0050 Yahoo adjusted close
2009-01-14,4521.47,-0.5568142165415302,21.520023345947266,0050 Yahoo adjusted close
2009-01-15,4320.77,-0.5764864441002922,19.186677932739258,0050 Yahoo adjusted close
2009-01-16,4353.7,-0.5732587089059222,18.567760467529297,0050 Yahoo adjusted close
2009-01-19,4366.76,-0.5719785928525221,20.876338958740234,0050 Yahoo adjusted close
2009-01-20,4242.61,-0.5841475368057871,20.325498580932617,0050 Yahoo adjusted close
2009-01-21,4247.97,-0.5836221599262904,18.877214431762695,0050 Yahoo adjusted close
2009-02-02,4259.98,-0.5824449628511499,20.44928741455078,0050 Yahoo adjusted close
2009-02-03,4372.81,-0.5713855835015977,19.47757339477539,0050 Yahoo adjusted close
2009-02-04,4389.97,-0.5697035933426124,19.613744735717773,0050 Yahoo adjusted close
2009-02-05,4363.25,-0.5723226362941327,19.45281410217285,0050 Yahoo adjusted close
2009-02-06,4471.25,-0.5617366842445748,19.92938995361328,0050 Yahoo adjusted close
2009-02-09,4494.59,-0.5594489423849758,21.520023345947266,0050 Yahoo adjusted close
2009-02-10,4526.1,-0.5563603928564427,21.650005340576172,0050 Yahoo adjusted close
2009-02-11,4575.95,-0.5514741918409756,19.143356323242188,0050 Yahoo adjusted close
2009-02-12,4466.42,-0.5622101115445688,21.42099952697754,0050 Yahoo adjusted close
2009-02-13,4592.5,-0.5498519927074552,20.59783172607422,0050 Yahoo adjusted close
2009-02-16,4591.26,-0.5499735351198761,21.99041175842285,0050 Yahoo adjusted close
2009-02-17,4491.78,-0.5597243731744135,20.077930450439453,0050 Yahoo adjusted close
2009-02-18,4498.37,-0.5590784340632413,18.703916549682617,0050 Yahoo adjusted close
