date,open,high,low,close,source,hwm,hwm_date,drawdown
2000-04-01,10050.43,10050.43,10050.43,10050.43,TWSE FMTQIK,10202.2,2000-02-17,-0.014876203171864888
2000-04-05,10186.17,10186.17,10186.17,10186.17,TWSE FMTQIK,10202.2,2000-02-17,-0.001571229734763202
2000-04-06,9969.28,9969.28,9969.28,9969.28,TWSE FMTQIK,10202.2,2000-02-17,-0.022830369920213256
2000-04-07,9921.03,9921.03,9921.03,9921.03,TWSE FMTQIK,10202.2,2000-02-17,-0.027559742016427857
2000-04-08,9934.57,9934.57,9934.57,9934.57,TWSE FMTQIK,10202.2,2000-02-17,-0.026232577287251813
2000-04-10,10127.48,10127.48,10127.48,10127.48,TWSE FMTQIK,10202.2,2000-02-17,-0.00732391052910164
2000-04-11,10068.05,10068.05,10068.05,10068.05,TWSE FMTQIK,10202.2,2000-02-17,-0.013149124698594528
2000-04-12,9911.39,9911.39,9911.39,9911.39,TWSE FMTQIK,10202.2,2000-02-17,-0.028504636254925497
2000-04-13,9662.6,9662.6,9662.6,9662.6,TWSE FMTQIK,10202.2,2000-02-17,-0.052890553017976516
2000-04-14,9374.61,9374.61,9374.61,9374.61,TWSE FMTQIK,10202.2,2000-02-17,-0.08111877830271907
2000-04-15,8866.8,8866.8,8866.8,8866.8,TWSE FMTQIK,10202.2,2000-02-17,-0.13089333673129333
2000-04-17,8993.68,8993.68,8993.68,8993.68,TWSE FMTQIK,10202.2,2000-02-17,-0.11845680343455334
2000-04-18,9307.03,9307.03,9307.03,9307.03,TWSE FMTQIK,10202.2,2000-02-17,-0.08774283977965536
2000-04-19,9104.4,9104.4,9104.4,9104.4,TWSE FMTQIK,10202.2,2000-02-17,-0.10760424222226583
2000-04-20,9109.05,9109.05,9109.05,9109.05,TWSE FMTQIK,10202.2,2000-02-17,-0.10714845817568774
2000-04-21,9120.48,9120.48,9120.48,9120.48,TWSE FMTQIK,10202.2,2000-02-17,-0.10602811158377612
2000-04-24,8808.09,8808.09,8808.09,8808.09,TWSE FMTQIK,10202.2,2000-02-17,-0.13664797788712246
2000-04-25,8921.12,8921.12,8921.12,8921.12,TWSE FMTQIK,10202.2,2000-02-17,-0.1255689949226637
2000-04-26,8535.96,8535.96,8535.96,8535.96,TWSE FMTQIK,10202.2,2000-02-17,-0.1633216365097725
2000-04-27,8541.95,8541.95,8541.95,8541.95,TWSE FMTQIK,10202.2,2000-02-17,-0.16273450824332003
2000-04-28,8824.36,8824.36,8824.36,8824.36,TWSE FMTQIK,10202.2,2000-02-17,-0.13505322381447138
2000-04-29,8777.35,8777.35,8777.35,8777.35,TWSE FMTQIK,10202.2,2000-02-17,-0.13966105349826508
2000-05-02,8638.75,8638.75,8638.75,8638.75,TWSE FMTQIK,10202.2,2000-02-17,-0.1532463586285312
2000-05-03,8420.0,8420.0,8420.0,8420.0,TWSE FMTQIK,10202.2,2000-02-17,-0.17468781243261267
2000-05-04,8425.38,8425.38,8425.38,8425.38,TWSE FMTQIK,10202.2,2000-02-17,-0.17416047519162547
2000-05-05,8698.53,8698.53,8698.53,8698.53,TWSE FMTQIK,10202.2,2000-02-17,-0.14738683813295173
2000-05-06,8657.13,8657.13,8657.13,8657.13,TWSE FMTQIK,10202.2,2000-02-17,-0.1514447864186157
2000-05-08,8616.18,8616.18,8616.18,8616.18,TWSE FMTQIK,10202.2,2000-02-17,-0.15545862657073972
2000-05-09,8635.84,8635.84,8635.84,8635.84,TWSE FMTQIK,10202.2,2000-02-17,-0.15353159122542204
2000-05-10,8559.87,8559.87,8559.87,8559.87,TWSE FMTQIK,10202.2,2000-02-17,-0.1609780243476897
2000-05-11,8349.91,8349.91,8349.91,8349.91,TWSE FMTQIK,10202.2,2000-02-17,-0.1815578992766267
2000-05-12,8560.44,8560.44,8560.44,8560.44,TWSE FMTQIK,10202.2,2000-02-17,-0.16092215404520593
2000-05-15,8465.02,8465.02,8465.02,8465.02,TWSE FMTQIK,10202.2,2000-02-17,-0.17027503871713945
2000-05-16,8727.82,8727.82,8727.82,8727.82,TWSE FMTQIK,10202.2,2000-02-17,-0.14451588872988186
2000-05-17,9085.74,9085.74,9085.74,9085.74,TWSE FMTQIK,10202.2,2000-02-17,-0.1094332594930506
2000-05-18,9087.21,9087.21,9087.21,9087.21,TWSE FMTQIK,10202.2,2000-02-17,-0.10928917292348728
2000-05-19,9119.77,9119.77,9119.77,9119.77,TWSE FMTQIK,10202.2,2000-02-17,-0.10609770441669442
2000-05-20,8820.35,8820.35,8820.35,8820.35,TWSE FMTQIK,10202.2,2000-02-17,-0.1354462762933485
2000-05-22,8807.57,8807.57,8807.57,8807.57,TWSE FMTQIK,10202.2,2000-02-17,-0.1366989472858796
2000-05-23,8671.01,8671.01,8671.01,8671.01,TWSE FMTQIK,10202.2,2000-02-17,-0.1500842955440984
2000-05-24,8500.41,8500.41,8500.41,8500.41,TWSE FMTQIK,10202.2,2000-02-17,-0.16680617905941864
2000-05-25,8438.1,8438.1,8438.1,8438.1,TWSE FMTQIK,10202.2,2000-02-17,-0.17291368528356632
2000-05-26,8559.46,8559.46,8559.46,8559.46,TWSE FMTQIK,10202.2,2000-02-17,-0.16101821175824838
2000-05-29,8588.25,8588.25,8588.25,8588.25,TWSE FMTQIK,10202.2,2000-02-17,-0.15819627139244485
2000-05-30,8764.42,8764.42,8764.42,8764.42,TWSE FMTQIK,10202.2,2000-02-17,-0.14092842720197607
2000-05-31,8939.52,8939.52,8939.52,8939.52,TWSE FMTQIK,10202.2,2000-02-17,-0.12376546235125763
2000-06-01,8842.63,8842.63,8842.63,8842.63,TWSE FMTQIK,10202.2,2000-02-17,-0.1332624335927547
2000-06-02,8883.45,8883.45,8883.45,8883.45,TWSE FMTQIK,10202.2,2000-02-17,-0.12926133579031973
2000-06-03,8935.64,8935.64,8935.64,8935.64,TWSE FMTQIK,10202.2,2000-02-17,-0.12414577248044556
2000-06-05,8958.21,8958.21,8958.21,8958.21,TWSE FMTQIK,10202.2,2000-02-17,-0.12193350453823704
2000-06-07,9115.47,9115.47,9115.47,9115.47,TWSE FMTQIK,10202.2,2000-02-17,-0.10651918213718625
2000-06-08,9067.88,9067.88,9067.88,9067.88,TWSE FMTQIK,10202.2,2000-02-17,-0.11118386230420907
2000-06-09,9036.66,9036.66,9036.66,9036.66,TWSE FMTQIK,10202.2,2000-02-17,-0.11424398659112744
2000-06-12,8955.44,8955.44,8955.44,8955.44,TWSE FMTQIK,10202.2,2000-02-17,-0.12220501460469313
2000-06-13,8891.09,8891.09,8891.09,8891.09,TWSE FMTQIK,10202.2,2000-02-17,-0.12851247770088814
2000-06-14,8935.23,8935.23,8935.23,8935.23,TWSE FMTQIK,10202.2,2000-02-17,-0.124185959891004
2000-06-15,8844.97,8844.97,8844.97,8844.97,TWSE FMTQIK,10202.2,2000-02-17,-0.13303307129834752
2000-06-16,8832.15,8832.15,8832.15,8832.15,TWSE FMTQIK,10202.2,2000-02-17,-0.1342896630138598
2000-06-17,8770.8,8770.8,8770.8,8770.8,TWSE FMTQIK,10202.2,2000-02-17,-0.14030307188645597
2000-06-19,8751.1,8751.1,8751.1,8751.1,TWSE FMTQIK,10202.2,2000-02-17,-0.14223402795475493
2000-06-20,8690.66,8690.66,8690.66,8690.66,TWSE FMTQIK,10202.2,2000-02-17,-0.14815824037952607
2000-06-21,8637.6,8637.6,8637.6,8637.6,TWSE FMTQIK,10202.2,2000-02-17,-0.15335907941424398
2000-06-22,8771.77,8771.77,8771.77,8771.77,TWSE FMTQIK,10202.2,2000-02-17,-0.14020799435415887
2000-06-23,8684.93,8684.93,8684.93,8684.93,TWSE FMTQIK,10202.2,2000-02-17,-0.14871988394659974
2000-06-26,8529.56,8529.56,8529.56,8529.56,TWSE FMTQIK,10202.2,2000-02-17,-0.1639489521867834
2000-06-27,8424.17,8424.17,8424.17,8424.17,TWSE FMTQIK,10202.2,2000-02-17,-0.17427907706181023
2000-06-28,8365.63,8365.63,8365.63,8365.63,TWSE FMTQIK,10202.2,2000-02-17,-0.1800170551449689
2000-06-29,8120.89,8120.89,8120.89,8120.89,TWSE FMTQIK,10202.2,2000-02-17,-0.20400599870616143
2000-06-30,8265.09,8265.09,8265.09,8265.09,TWSE FMTQIK,10202.2,2000-02-17,-0.18987179235851093
2000-07-03,8297.77,8297.77,8297.77,8297.77,TWSE FMTQIK,10202.2,2000-02-17,-0.18666856168277435
2000-07-04,8052.54,8052.54,8052.54,8052.54,TWSE FMTQIK,10202.2,2000-02-17,-0.2107055341004882
2000-07-05,8421.74,8421.74,8421.74,8421.74,TWSE FMTQIK,10202.2,2000-02-17,-0.1745172609829253
2000-07-06,8289.39,8289.39,8289.39,8289.39,TWSE FMTQIK,10202.2,2000-02-17,-0.1874899531473605
2000-07-07,8173.08,8173.08,8173.08,8173.08,TWSE FMTQIK,10202.2,2000-02-17,-0.19889043539628715
2000-07-10,8154.67,8154.67,8154.67,8154.67,TWSE FMTQIK,10202.2,2000-02-17,-0.20069494814843858
2000-07-11,8158.63,8158.63,8158.63,8158.63,TWSE FMTQIK,10202.2,2000-02-17,-0.2003067965732882
2000-07-12,8059.75,8059.75,8059.75,8059.75,TWSE FMTQIK,10202.2,2000-02-17,-0.20999882378310564
2000-07-13,8267.66,8267.66,8267.66,8267.66,TWSE FMTQIK,10202.2,2000-02-17,-0.18961988590696133
2000-07-14,8497.13,8497.13,8497.13,8497.13,TWSE FMTQIK,10202.2,2000-02-17,-0.16712767834388675
2000-07-15,8518.13,8518.13,8518.13,8518.13,TWSE FMTQIK,10202.2,2000-02-17,-0.16506929877869492
2000-07-17,8585.52,8585.52,8585.52,8585.52,TWSE FMTQIK,10202.2,2000-02-17,-0.15846386073591967
2000-07-18,8368.78,8368.78,8368.78,8368.78,TWSE FMTQIK,10202.2,2000-02-17,-0.17970829821018997
2000-07-19,8411.88,8411.88,8411.88,8411.88,TWSE FMTQIK,10202.2,2000-02-17,-0.17548371919782024
2000-07-20,8219.53,8219.53,8219.53,8219.53,TWSE FMTQIK,10202.2,2000-02-17,-0.19433749583423188
2000-07-21,8167.37,8167.37,8167.37,8167.37,TWSE FMTQIK,10202.2,2000-02-17,-0.19945011860187023
2000-07-24,8064.2,8064.2,8064.2,8064.2,TWSE FMTQIK,10202.2,2000-02-17,-0.20956264335143404
