strategy,schedule,starts,avg_final,median_final,avg_excess_vs_all_in,win_rate_vs_all_in,worst_excess_vs_all_in,best_excess_vs_all_in,avg_max_drawdown,never_full_rate,avg_full_days,max_full_days,1y_avg,1y_median,3y_avg,3y_median,5y_avg,5y_median,10y_avg,10y_median
init_100_full_20,0%->100%,89,5.089001463602158,3.24878079639473,8.732091204916961e-18,0.12359550561797752,-2.220446049250313e-16,2.220446049250313e-16,-0.6375501377488708,0.0,0,0,-0.01873742595016135,0.08087512859034018,-0.08414133789341406,0.0030860885317605113,-0.07888225169946139,-0.14863588846376397,0.035570715544460875,-0.014828329938613383
init_80_full_20,0%->80%; -5%->85%; -10%->90%; -15%->95%; -20%->100%,89,5.099517778304803,3.24878079639473,0.0026611390471117406,0.5617977528089888,-0.007739578143165615,0.11992287731314577,-0.6369436674953539,0.0,62.59550561797753,412,-0.017808784437097987,0.0808751285903404,-0.08344963489317929,0.0034577976659511123,-0.07841664224566626,-0.14603657984780638,0.035839244115387366,-0.014828329938613383
init_80_full_25,0%->80%; -5%->84%; -10%->88%; -15%->92%; -20%->96%; -25%->100%,89,5.135058658524834,3.316870267750305,0.015126567303873142,0.6292134831460674,-0.01157208272243282,0.20156957563464228,-0.6333378441113372,0.0,208.79775280898878,1103,-0.014490090400995534,0.0808751285903404,-0.08067796803744215,0.004369387399046687,-0.07641097073588413,-0.14201247847373366,0.03700627355970983,-0.012945373956726014
init_80_full_30,0%->80%; -5%->83%; -10%->87%; -15%->90%; -20%->93%; -25%->97%; -30%->100%,89,5.090718709805485,3.3190072515221116,0.011627413156235016,0.6067415730337079,-0.02799950837425591,0.1895032791308695,-0.6292047404793851,0.0,941.0112359550562,2393,-0.01198643635915377,0.08339101897628098,-0.07996655395196245,0.005721586489079833,-0.07666155198739724,-0.1406328587408906,0.03655483982012639,-0.011906153976891765
init_80_full_35,0%->80%; -5%->83%; -10%->86%; -15%->89%; -20%->91%; -25%->94%; -30%->97%; -35%->100%,89,4.981037787473306,3.2442553445179474,-0.009613446657411295,0.15730337078651685,-0.05003905329256175,0.1440405639209288,-0.6172306356171399,0.9213483146067416,0.5714285714285714,4,-0.011568580125492571,0.08072088810427935,-0.07609702811070908,0.005258416400712784,-0.073416498813036,-0.1361237643047375,0.03610585398434935,-0.01173732183341858
init_80_full_40,0%->80%; -5%->82%; -10%->85%; -15%->88%; -20%->90%; -25%->92%; -30%->95%; -35%->98%; -40%->100%,89,4.896520718192607,3.1828323655170063,-0.026161621001114608,0.14606741573033707,-0.06656871198129066,0.1099435275134737,-0.6077126882845474,0.9550561797752809,0,0,-0.011372187844415092,0.07871828995027874,-0.07333258107331242,0.004910758536694093,-0.07084954244060813,-0.13233815138910554,0.035806628236501485,-0.011610867863233953
init_80_full_50,0%->80%; -5%->82%; -10%->84%; -15%->86%; -20%->88%; -25%->90%; -30%->92%; -35%->94%; -40%->96%; -45%->98%; -50%->100%,89,4.777476458750336,3.077272884113644,-0.04949934221436191,0.1348314606741573,-0.08971023414551171,0.06220767654303638,-0.5941734609537269,0.9662921348314607,0,0,-0.011188446894047657,0.07591465253467744,-0.06962883049242453,0.004423633028643126,-0.06734171503830542,-0.1268262499024525,0.03537499523961161,-0.01143407656282558
init_60_full_20,0%->60%; -5%->70%; -10%->80%; -15%->90%; -20%->100%,89,5.1100340930074495,3.3036817139756347,0.005322278094223485,0.5955056179775281,-0.015479156286331008,0.23984575462629132,-0.6363355729487784,0.0,62.59550561797753,412,-0.016880142924034617,0.0808751285903404,-0.08278260280525142,0.0038292316208305976,-0.07797132840912636,-0.14603657984780638,0.03609440687442881,-0.014828329938613383
init_60_full_25,0%->60%; -5%->68%; -10%->76%; -15%->84%; -20%->92%; -25%->100%,89,5.181115853447509,3.4467347868179252,0.030253134607746274,0.6853932584269663,-0.02314416544486575,0.40313915126928457,-0.6291181667213446,0.0,208.79775280898878,1103,-0.01024275485182966,0.0808751285903404,-0.0774258938127485,0.0056494152368298245,-0.07411733050390365,-0.13531156874362815,0.03832647569031375,-0.011843798006207495
init_60_full_30,0%->60%; -5%->67%; -10%->73%; -15%->80%; -20%->87%; -25%->93%; -30%->100%,89,5.092435956008812,3.465493577972994,0.02325482631246994,0.5842696629213483,-0.05599901674851249,0.37900655826173857,-0.620836476319396,0.0,941.0112359550562,2393,-0.0052354467681462935,0.08548566782790834,-0.07618251163533585,0.008343343699323658,-0.07470528915449054,-0.13348334770785975,0.037413346537755125,-0.010940086971323648
