date,close,adj_close,source
2009-01-02,32.869998931884766,20.34406852722168,Yahoo Finance chart API
2009-01-05,36.59000015258789,22.646467208862305,Yahoo Finance chart API
2009-01-06,36.56999969482422,22.63409996032715,Yahoo Finance chart API
2009-01-07,32.209999084472656,19.935579299926758,Yahoo Finance chart API
2009-01-08,30.15999984741211,18.666786193847656,Yahoo Finance chart API
2009-01-09,32.220001220703125,19.9417667388916,Yahoo Finance chart API
2009-01-12,34.189998626708984,21.161048889160156,Yahoo Finance chart API
2009-01-13,32.65999984741211,20.214092254638672,Yahoo Finance chart API
2009-01-14,34.77000045776367,21.520023345947266,Yahoo Finance chart API
2009-01-15,31.0,19.186677932739258,Yahoo Finance chart API
2009-01-16,30.0,18.567760467529297,Yahoo Finance chart API
2009-01-19,33.72999954223633,20.876338958740234,Yahoo Finance chart API
2009-01-20,32.84000015258789,20.325498580932617,Yahoo Finance chart API
2009-01-21,30.5,18.877214431762695,Yahoo Finance chart API
2009-02-02,33.040000915527344,20.44928741455078,Yahoo Finance chart API
2009-02-03,31.469999313354492,19.47757339477539,Yahoo Finance chart API
2009-02-04,31.690000534057617,19.613744735717773,Yahoo Finance chart API
2009-02-05,31.43000030517578,19.45281410217285,Yahoo Finance chart API
2009-02-06,32.20000076293945,19.92938995361328,Yahoo Finance chart API
2009-02-09,34.77000045776367,21.520023345947266,Yahoo Finance chart API
2009-02-10,34.97999954223633,21.650005340576172,Yahoo Finance chart API
2009-02-11,30.93000030517578,19.143356323242188,Yahoo Finance chart API
2009-02-12,34.61000061035156,21.42099952697754,Yahoo Finance chart API
2009-02-13,33.279998779296875,20.59783172607422,Yahoo Finance chart API
2009-02-16,35.529998779296875,21.99041175842285,Yahoo Finance chart API
2009-02-17,32.439998626708984,20.077930450439453,Yahoo Finance chart API
2009-02-18,30.219999313354492,18.703916549682617,Yahoo Finance chart API
2009-02-19,35.220001220703125,21.79854393005371,Yahoo Finance chart API
2009-02-20,34.34000015258789,21.253890991210938,Yahoo Finance chart API
2009-02-23,32.439998626708984,20.077930450439453,Yahoo Finance chart API
2009-02-24,34.40999984741211,21.297212600708008,Yahoo Finance chart API
2009-02-25,32.7400016784668,20.263607025146484,Yahoo Finance chart API
2009-02-26,32.79999923706055,20.30074691772461,Yahoo Finance chart API
2009-02-27,33.04999923706055,20.455472946166992,Yahoo Finance chart API
2009-03-02,31.93000030517578,19.76228141784668,Yahoo Finance chart API
2009-03-03,31.950000762939453,19.774658203125,Yahoo Finance chart API
2009-03-04,32.75,20.269794464111328,Yahoo Finance chart API
2009-03-05,33.45000076293945,20.703044891357422,Yahoo Finance chart API
2009-03-06,36.02000045776367,22.293689727783203,Yahoo Finance chart API
2009-03-09,33.31999969482422,20.622583389282227,Yahoo Finance chart API
2009-03-10,33.47999954223633,20.72161293029785,Yahoo Finance chart API
2009-03-11,34.25,21.19818687438965,Yahoo Finance chart API
2009-03-12,34.04999923706055,21.07440185546875,Yahoo Finance chart API
2009-03-13,35.0,21.662382125854492,Yahoo Finance chart API
2009-03-16,35.529998779296875,21.99041175842285,Yahoo Finance chart API
2009-03-17,36.16999816894531,22.386520385742188,Yahoo Finance chart API
2009-03-18,36.099998474121094,22.34319305419922,Yahoo Finance chart API
2009-03-19,35.900001525878906,22.219411849975586,Yahoo Finance chart API
2009-03-20,35.41999816894531,21.92232894897461,Yahoo Finance chart API
2009-03-23,36.56999969482422,22.63409996032715,Yahoo Finance chart API
2009-03-24,37.400001525878906,23.147798538208008,Yahoo Finance chart API
2009-03-25,37.81999969482422,23.407743453979492,Yahoo Finance chart API
2009-03-26,38.099998474121094,23.58104705810547,Yahoo Finance chart API
2009-03-27,37.77000045776367,23.376802444458008,Yahoo Finance chart API
2009-03-30,36.290000915527344,22.460798263549805,Yahoo Finance chart API
2009-03-31,36.63999938964844,22.677417755126953,Yahoo Finance chart API
2009-04-02,38.58000183105469,23.878129959106445,Yahoo Finance chart API
2009-04-03,38.599998474121094,23.89051055908203,Yahoo Finance chart API
2009-04-06,38.790000915527344,24.008106231689453,Yahoo Finance chart API
2009-04-07,38.79999923706055,24.01429557800293,Yahoo Finance chart API
2009-04-08,37.72999954223633,23.352048873901367,Yahoo Finance chart API
2009-04-09,39.279998779296875,24.311376571655273,Yahoo Finance chart API
2009-04-10,39.970001220703125,24.738445281982422,Yahoo Finance chart API
2009-04-13,40.18000030517578,24.868408203125,Yahoo Finance chart API
2009-04-14,40.5,25.066469192504883,Yahoo Finance chart API
2009-04-15,40.25,24.911739349365234,Yahoo Finance chart API
2009-04-16,41.20000076293945,25.499719619750977,Yahoo Finance chart API
2009-04-17,39.880001068115234,24.682735443115234,Yahoo Finance chart API
2009-04-20,40.16999816894531,24.862220764160156,Yahoo Finance chart API
2009-04-21,40.779998779296875,25.239763259887695,Yahoo Finance chart API
2009-04-22,40.650001525878906,25.1593074798584,Yahoo Finance chart API
2009-04-23,40.459999084472656,25.041709899902344,Yahoo Finance chart API
2009-04-24,40.5,25.066469192504883,Yahoo Finance chart API
2009-04-27,39.52000045776367,24.45992088317871,Yahoo Finance chart API
2009-04-28,39.04999923706055,24.16902732849121,Yahoo Finance chart API
2009-04-29,39.400001525878906,24.385656356811523,Yahoo Finance chart API
2009-04-30,42.150001525878906,26.08769416809082,Yahoo Finance chart API
2009-05-04,45.099998474121094,27.913528442382812,Yahoo Finance chart API
2009-05-05,46.29999923706055,28.656238555908203,Yahoo Finance chart API
2009-05-06,46.400001525878906,28.718128204345703,Yahoo Finance chart API
2009-05-07,46.29999923706055,28.656238555908203,Yahoo Finance chart API
2009-05-08,45.83000183105469,28.365339279174805,Yahoo Finance chart API
2009-05-11,46.20000076293945,28.594345092773438,Yahoo Finance chart API
2009-05-12,44.599998474121094,27.604066848754883,Yahoo Finance chart API
2009-05-13,44.66999816894531,27.64737892150879,Yahoo Finance chart API
2009-05-14,43.650001525878906,27.016084671020508,Yahoo Finance chart API
2009-05-15,44.79999923706055,27.727848052978516,Yahoo Finance chart API
2009-05-18,45.060001373291016,27.888763427734375,Yahoo Finance chart API
2009-05-19,46.099998474121094,28.532445907592773,Yahoo Finance chart API
2009-05-20,46.29999923706055,28.656238555908203,Yahoo Finance chart API
2009-05-21,45.95000076293945,28.439611434936523,Yahoo Finance chart API
2009-05-22,45.779998779296875,28.334388732910156,Yahoo Finance chart API
2009-05-25,45.72999954223633,28.303443908691406,Yahoo Finance chart API
2009-05-26,45.599998474121094,28.222986221313477,Yahoo Finance chart API
2009-05-27,48.0,29.708406448364258,Yahoo Finance chart API
2009-06-01,47.720001220703125,29.535110473632812,Yahoo Finance chart API
