date,open,high,low,close,source
2000-03-07,9380.07,9380.07,9380.07,9380.07,TWSE FMTQIK
2000-03-08,9389.49,9389.49,9389.49,9389.49,TWSE FMTQIK
2000-03-09,9587.27,9587.27,9587.27,9587.27,TWSE FMTQIK
2000-03-10,9429.6,9429.6,9429.6,9429.6,TWSE FMTQIK
2000-03-13,8811.95,8811.95,8811.95,8811.95,TWSE FMTQIK
2000-03-14,8835.58,8835.58,8835.58,8835.58,TWSE FMTQIK
2000-03-15,8640.03,8640.03,8640.03,8640.03,TWSE FMTQIK
2000-03-16,8682.76,8682.76,8682.76,8682.76,TWSE FMTQIK
2000-03-17,8763.27,8763.27,8763.27,8763.27,TWSE FMTQIK
2000-03-20,8536.05,8536.05,8536.05,8536.05,TWSE FMTQIK
2000-03-21,9004.48,9004.48,9004.48,9004.48,TWSE FMTQIK
2000-03-22,9069.39,9069.39,9069.39,9069.39,TWSE FMTQIK
2000-03-23,9533.87,9533.87,9533.87,9533.87,TWSE FMTQIK
2000-03-24,9482.64,9482.64,9482.64,9482.64,TWSE FMTQIK
2000-03-27,9807.57,9807.57,9807.57,9807.57,TWSE FMTQIK
2000-03-28,9856.6,9856.6,9856.6,9856.6,TWSE FMTQIK
2000-03-29,9805.69,9805.69,9805.69,9805.69,TWSE FMTQIK
2000-03-30,9931.94,9931.94,9931.94,9931.94,TWSE FMTQIK
2000-03-31,9854.95,9854.95,9854.95,9854.95,TWSE FMTQIK
2000-04-01,10050.43,10050.43,10050.43,10050.43,TWSE FMTQIK
2000-04-05,10186.17,10186.17,10186.17,10186.17,TWSE FMTQIK
2000-04-06,9969.28,9969.28,9969.28,9969.28,TWSE FMTQIK
2000-04-07,9921.03,9921.03,9921.03,9921.03,TWSE FMTQIK
2000-04-08,9934.57,9934.57,9934.57,9934.57,TWSE FMTQIK
2000-04-10,10127.48,10127.48,10127.48,10127.48,TWSE FMTQIK
2000-04-11,10068.05,10068.05,10068.05,10068.05,TWSE FMTQIK
2000-04-12,9911.39,9911.39,9911.39,9911.39,TWSE FMTQIK
2000-04-13,9662.6,9662.6,9662.6,9662.6,TWSE FMTQIK
2000-04-14,9374.61,9374.61,9374.61,9374.61,TWSE FMTQIK
2000-04-15,8866.8,8866.8,8866.8,8866.8,TWSE FMTQIK
2000-04-17,8993.68,8993.68,8993.68,8993.68,TWSE FMTQIK
2000-04-18,9307.03,9307.03,9307.03,9307.03,TWSE FMTQIK
2000-04-19,9104.4,9104.4,9104.4,9104.4,TWSE FMTQIK
2000-04-20,9109.05,9109.05,9109.05,9109.05,TWSE FMTQIK
2000-04-21,9120.48,9120.48,9120.48,9120.48,TWSE FMTQIK
2000-04-24,8808.09,8808.09,8808.09,8808.09,TWSE FMTQIK
2000-04-25,8921.12,8921.12,8921.12,8921.12,TWSE FMTQIK
2000-04-26,8535.96,8535.96,8535.96,8535.96,TWSE FMTQIK
2000-04-27,8541.95,8541.95,8541.95,8541.95,TWSE FMTQIK
2000-04-28,8824.36,8824.36,8824.36,8824.36,TWSE FMTQIK
2000-04-29,8777.35,8777.35,8777.35,8777.35,TWSE FMTQIK
2000-05-02,8638.75,8638.75,8638.75,8638.75,TWSE FMTQIK
2000-05-03,8420.0,8420.0,8420.0,8420.0,TWSE FMTQIK
2000-05-04,8425.38,8425.38,8425.38,8425.38,TWSE FMTQIK
2000-05-05,8698.53,8698.53,8698.53,8698.53,TWSE FMTQIK
2000-05-06,8657.13,8657.13,8657.13,8657.13,TWSE FMTQIK
2000-05-08,8616.18,8616.18,8616.18,8616.18,TWSE FMTQIK
2000-05-09,8635.84,8635.84,8635.84,8635.84,TWSE FMTQIK
2000-05-10,8559.87,8559.87,8559.87,8559.87,TWSE FMTQIK
2000-05-11,8349.91,8349.91,8349.91,8349.91,TWSE FMTQIK
2000-05-12,8560.44,8560.44,8560.44,8560.44,TWSE FMTQIK
2000-05-15,8465.02,8465.02,8465.02,8465.02,TWSE FMTQIK
2000-05-16,8727.82,8727.82,8727.82,8727.82,TWSE FMTQIK
2000-05-17,9085.74,9085.74,9085.74,9085.74,TWSE FMTQIK
2000-05-18,9087.21,9087.21,9087.21,9087.21,TWSE FMTQIK
2000-05-19,9119.77,9119.77,9119.77,9119.77,TWSE FMTQIK
2000-05-20,8820.35,8820.35,8820.35,8820.35,TWSE FMTQIK
2000-05-22,8807.57,8807.57,8807.57,8807.57,TWSE FMTQIK
2000-05-23,8671.01,8671.01,8671.01,8671.01,TWSE FMTQIK
2000-05-24,8500.41,8500.41,8500.41,8500.41,TWSE FMTQIK
2000-05-25,8438.1,8438.1,8438.1,8438.1,TWSE FMTQIK
2000-05-26,8559.46,8559.46,8559.46,8559.46,TWSE FMTQIK
2000-05-29,8588.25,8588.25,8588.25,8588.25,TWSE FMTQIK
2000-05-30,8764.42,8764.42,8764.42,8764.42,TWSE FMTQIK
2000-05-31,8939.52,8939.52,8939.52,8939.52,TWSE FMTQIK
2000-06-01,8842.63,8842.63,8842.63,8842.63,TWSE FMTQIK
2000-06-02,8883.45,8883.45,8883.45,8883.45,TWSE FMTQIK
2000-06-03,8935.64,8935.64,8935.64,8935.64,TWSE FMTQIK
2000-06-05,8958.21,8958.21,8958.21,8958.21,TWSE FMTQIK
2000-06-07,9115.47,9115.47,9115.47,9115.47,TWSE FMTQIK
2000-06-08,9067.88,9067.88,9067.88,9067.88,TWSE FMTQIK
2000-06-09,9036.66,9036.66,9036.66,9036.66,TWSE FMTQIK
2000-06-12,8955.44,8955.44,8955.44,8955.44,TWSE FMTQIK
2000-06-13,8891.09,8891.09,8891.09,8891.09,TWSE FMTQIK
2000-06-14,8935.23,8935.23,8935.23,8935.23,TWSE FMTQIK
2000-06-15,8844.97,8844.97,8844.97,8844.97,TWSE FMTQIK
2000-06-16,8832.15,8832.15,8832.15,8832.15,TWSE FMTQIK
2000-06-17,8770.8,8770.8,8770.8,8770.8,TWSE FMTQIK
2000-06-19,8751.1,8751.1,8751.1,8751.1,TWSE FMTQIK
2000-06-20,8690.66,8690.66,8690.66,8690.66,TWSE FMTQIK
2000-06-21,8637.6,8637.6,8637.6,8637.6,TWSE FMTQIK
2000-06-22,8771.77,8771.77,8771.77,8771.77,TWSE FMTQIK
2000-06-23,8684.93,8684.93,8684.93,8684.93,TWSE FMTQIK
2000-06-26,8529.56,8529.56,8529.56,8529.56,TWSE FMTQIK
2000-06-27,8424.17,8424.17,8424.17,8424.17,TWSE FMTQIK
